# MonitorFlux offline place index. GENERATED by script/make_place_index.swift — do not edit.
# Cities/admin names: GeoNames (geonames.org), CC BY 4.0. ZIP centroids: US Census ZCTA
# gazetteer 2025, public domain.
# T timezone-id | A admin1-name | C name aIdx cc lat lon pop tzIdx | Z zip lat lon
T	Africa/Maputo
T	Africa/Windhoek
T	Pacific/Noumea
T	Africa/Niamey
T	Pacific/Norfolk
T	Africa/Lagos
T	America/Managua
T	Europe/Amsterdam
T	Europe/Oslo
T	Asia/Kathmandu
T	Pacific/Nauru
T	Pacific/Niue
T	Pacific/Auckland
T	Asia/Muscat
T	America/Panama
T	America/Lima
T	Pacific/Tahiti
T	Pacific/Port_Moresby
T	Pacific/Bougainville
T	Asia/Manila
T	Asia/Karachi
T	Europe/Warsaw
T	America/Miquelon
T	Pacific/Pitcairn
T	America/Puerto_Rico
T	Asia/Gaza
T	Asia/Hebron
T	Europe/Lisbon
T	Atlantic/Madeira
T	Atlantic/Azores
T	Pacific/Palau
T	America/Asuncion
T	Asia/Qatar
T	Indian/Reunion
T	Europe/Bucharest
T	Europe/Belgrade
T	Asia/Yekaterinburg
T	Europe/Volgograd
T	Europe/Samara
T	Europe/Kaliningrad
T	Europe/Saratov
T	Europe/Kirov
T	Europe/Ulyanovsk
T	Europe/Astrakhan
T	Asia/Barnaul
T	Asia/Novokuznetsk
T	Asia/Krasnoyarsk
T	Asia/Tomsk
T	Asia/Novosibirsk
T	Asia/Irkutsk
T	Asia/Omsk
T	Asia/Yakutsk
T	Asia/Vladivostok
T	Asia/Chita
T	Asia/Kamchatka
T	Asia/Sakhalin
T	Asia/Magadan
T	Asia/Anadyr
T	Africa/Kigali
T	Asia/Riyadh
T	Pacific/Guadalcanal
T	Indian/Mahe
T	Africa/Khartoum
T	Europe/Stockholm
T	Asia/Singapore
T	Atlantic/St_Helena
T	Europe/Ljubljana
T	Arctic/Longyearbyen
T	Europe/Bratislava
T	Africa/Freetown
T	Europe/San_Marino
T	Africa/Dakar
T	Africa/Mogadishu
T	America/Paramaribo
T	Africa/Juba
T	Africa/Sao_Tome
T	America/El_Salvador
T	America/Lower_Princes
T	Asia/Damascus
T	Africa/Mbabane
T	America/Grand_Turk
T	Africa/Ndjamena
T	Indian/Kerguelen
T	Africa/Lome
T	Asia/Bangkok
T	Asia/Dushanbe
T	Asia/Dili
T	Asia/Ashgabat
T	Africa/Tunis
T	Pacific/Tongatapu
T	Europe/Istanbul
T	America/Port_of_Spain
T	Pacific/Funafuti
T	Asia/Taipei
T	Africa/Dar_es_Salaam
T	Europe/Kyiv
T	Europe/Simferopol
T	Africa/Kampala
T	America/New_York
T	America/Chicago
T	America/Indiana/Indianapolis
T	America/Kentucky/Louisville
T	America/Indiana/Vincennes
T	America/Detroit
T	America/Los_Angeles
T	America/Phoenix
T	America/Denver
T	America/Juneau
T	America/Boise
T	America/North_Dakota/New_Salem
T	Pacific/Honolulu
T	America/Anchorage
T	America/Montevideo
T	Asia/Samarkand
T	Asia/Tashkent
T	Europe/Vatican
T	America/St_Vincent
T	America/Caracas
T	America/Tortola
T	America/St_Thomas
T	Pacific/Efate
T	Pacific/Wallis
T	Pacific/Apia
T	Asia/Aden
T	Indian/Mayotte
T	Africa/Johannesburg
T	Africa/Lusaka
T	Africa/Harare
A	Escaldes-Engordany
A	Andorra la Vella
A	Dubai
A	Umm Al Quwain
A	Fujairah
A	Ras Al Khaimah
A	Abu Dhabi
A	Sharjah
A	Ajman
A	Nimroz
A	Bamyan
A	Takhar
A	Herat
A	Jowzjan
A	Ghowr
A	Sar-e Pol Province
A	Samangan
A	Kunduz
A	Baghlan
A	Kabul
A	Daykundi
A	Faryab
A	Laghman
A	Balkh
A	Helmand
A	Khowst
A	Kandahar
A	Badakhshan
A	Nangarhar
A	Parwan
A	Badghis
A	Ghazni
A	Paktia
A	Farah
A	Logar
A	Kunar
A	Panjshir
A	Saint John Parish
A	The Valley
A	Vlorë County
A	Korçë County
A	Elbasan County
A	Kukës County
A	Gjirokastër County
A	Dibër County
A	Tirana
A	Shkodër County
A	Durrës County
A	Fier County
A	Lezhë County
A	Berat County
A	Syunik
A	Ararat
A	Yerevan
A	Armavir
A	Gegharkunik
A	Lori
A	Tavush
A	Kotayk
A	Shirak
A	Aragatsotn
A	Lunda Sul
A	Luanda Norte
A	Moxico
A	Cuanza Norte
A	Luanda
A	Uíge
A	Bengo
A	Zaire
A	Kwanza Sul
A	Malanje
A	Cabinda
A	Cunene
A	Huambo
A	Namibe
A	Huíla
A	Bíe
A	Cubango
A	Benguela
A	Buenos Aires
A	Misiones
A	Buenos Aires F.D.
A	Santa Fe
A	Entre Rios
A	Corrientes
A	Chaco
A	Formosa
A	Neuquen
A	Tucuman
A	Rio Negro
A	San Juan
A	Cordoba
A	Tierra del Fuego
A	Chubut
A	Santiago del Estero
A	Salta
A	La Pampa
A	Jujuy
A	Mendoza
A	San Luis
A	Catamarca
A	Santa Cruz
A	La Rioja
A	Eastern District
A	State of Vienna
A	Carinthia
A	Tyrol
A	Lower Austria
A	Styria
A	Upper Austria
A	State of Salzburg
A	Vorarlberg
A	Burgenland
A	South Australia
A	Western Australia
A	Queensland
A	Northern Territory
